investor_id,amfi_code,units_held,invested_amount,current_nav
INV00001,135,920.2855583471163,40896.32199967911,14.47488014806961
INV00002,113,141.33067350838243,76825.54862513725,63.019008099031325
INV00003,134,218.74453820073697,96831.48377084304,69.47544110908102
INV00004,103,463.16502894078747,87336.6704896552,98.99226228135049
INV00005,128,300.9859544089328,40166.26108827024,97.10532990348972
INV00006,115,45.61558909478132,98057.48763820599,135.61736552029072
INV00007,102,453.454927149866,73116.00398175078,153.91439896581875
INV00008,124,186.4731635251777,42005.20424986268,62.215945375352966
INV00009,120,240.91223469573762,61612.66530547021,163.72588684356143
INV00010,129,776.6876814017221,10998.375184595912,107.77069669242891
INV00011,106,683.0807396577837,64651.942636078966,84.54485755234184
INV00012,125,932.8657831466325,19794.969364868375,65.54979938698403
INV00013,116,294.4606643756482,99715.91421084398,59.6568775152817
INV00014,137,394.2562290803342,58685.62516940913,51.557185607065946
INV00015,135,711.2544016895914,6421.717125865446,127.96782054329265
INV00016,125,626.6710537342003,45056.60527371673,178.0207165280788
INV00017,109,175.17845166781632,8996.681422766822,169.557067144723
INV00018,138,690.9119266427793,8071.336691307228,136.44353223960687
INV00019,133,676.9745853570797,88694.02038626952,32.9516433805928
INV00020,135,546.7166931891902,66835.64075512541,44.50998205458518
INV00021,118,408.44776698220676,56880.811679978695,148.2309931366612
INV00022,118,300.1049972839199,65684.18384285725,68.15299755018881
INV00023,120,488.4113281958904,44409.78003267716,69.00846229818784
INV00024,103,94.90755816833037,28407.44100748298,71.65170356976253
INV00025,111,360.6935393064446,26063.327230573967,114.07757959601322
INV00026,139,508.044659898166,89427.2790064323,186.98346296860194
INV00027,100,956.1811973268168,13222.276158218689,49.45667869115844
INV00028,118,364.7678054778775,57985.93556791093,100.84520071455147
INV00029,124,112.56749848647367,93093.8827127881,89.66527470516388
INV00030,113,549.0157022347869,25909.671230596752,91.14768578940648
INV00031,137,945.8092728978386,83458.31138708317,130.73105543657812
INV00032,118,549.9059798915123,59361.08985276067,99.08528129415656
INV00033,120,55.07458736012352,12236.972009998619,43.24971612765274
INV00034,107,750.3721419190147,11371.25104178171,78.25548472067938
INV00035,107,430.3359508951495,35085.384354652786,31.381499000304377
INV00036,114,169.0717579139887,99282.83569913183,179.15812159188098
INV00037,126,93.6766762497212,47270.25589908552,158.33504420579882
